Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Boutique Hotels,THE THEVA RESIDENCY,"11/B5/10-1 06TH LANE, HANTANA,KANDY",10,Null,Kandy,Kandy Divisional Secretariat,Kandy,80.635411,7.276036
Boutique Hotels,HIGHLAND VILLA,"351, ABIMANGAMA ROAD, KUMBALGAMA, WELIGAMA",10,Null,Matara,Weligama Divisional Secretariat,Weligama Pradeshiya Sabha,80.409972,5.960334
Boutique Hotels,ULAGALLA WALAWWA RESORT,"THIRAPPANE, ANURADHAPURA",21,Null,Anuradhapura,Anuradhapura East,Anuradhapura,80.545063,8.205927
Boutique Hotels,GALLE FORT HOTEL,"NO.28, CHURCH STREET, FORT , GALLE",14,Null,Galle,Galle Divisional Secretariat,Galle,80.217563,6.026649
Boutique Hotels,THE ELEPHANT CORRIDOR,"POTHANA,KIBISSA, SIGIRIYA",21,Null,Matale,Null,Matale,80.710743,7.943525
Boutique Hotels,AMANWELLA,"WELLAWATURA, GODELLAWELA, TANGALLE",30,Null,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.777376,6.006174
Boutique Hotels,ADITYA,"719/1, GALLE ROAD, DEVENIGODA,RATHGAMA",12,Null,Galle,Galle Divisional Secretariat,Galle,80.134978,6.094732
Boutique Hotels,BUCKINGAM PLACE,"REKAWA VILLAGE, NETOLPITIYA, TANGALLE",11,Null,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.855462,6.047336
Boutique Hotels,CLUB VILLA,"NO.138/15, GALLE ROAD, BENTOTA",15,Null,Galle,Benthota Divisional Secretariat,Bentota Pradeshiya Sabha,79.999034,6.414093
Boutique Hotels,SAMAN VILLAS,"ATURUWELLA, INDURUWA",27,Null,Galle,Galle Divisional Secretariat,Galle,80.004447,6.395518
Boutique Hotels,MANDARA RESORT,"NO. 416, MODARAWATTA, PELENA, MIRISSA, WEILIGAMA",12,Null,Matara,Matara Divisional Secretariat,Weligama Pradeshiya Sabha,80.453836,5.964016
Boutique Hotels,VIL UYANA,"RANGIRIGAMA, SIGIRIYA",30,Null,Matale,Matale Divisional Secretariat,Matale,80.720275,7.92971
Boutique Hotels,TAMARIND HILL HOTEL,"NO.288,GALLE ROAD, DADELLA, GALLE",11,Null,Galle,Galle Divisional Secretariat,Galle,80.19736,6.044845
Boutique Hotels,PARADISE ROAD TINTAGEL COLOMBO,"NO.65, ROSMEAD PLACE,COLOMBO 07",10,Null,Colombo,Colombo Divisional Secretariat,Colombo,79.869959,6.915033
Boutique Hotels,BROOK BOUTIQUE,"ALI PALLAMA, MADAHAPOLA ROAD, MELSIRIPURA",10,Null,Kurunegala,Polpithigama Divisional Secretariat,Polpithigama Pradeshiya Sabha,80.512511,7.726939
Boutique Hotels,THE FORTRESS,KOGGALA,49,Null,Galle,Galle Divisional Secretariat,Galle,80.326424,5.986535
Boutique Hotels,CASA COLOMBO,"NO.231, GALLE ROAD, COLOMBO 03",11,Null,Colombo,Colombo Divisional Secretariat,Colombo,79.857693,6.888839
Boutique Hotels,AMANGALLE,"NO. 10 CHURCH ROAD, GALLE",28,Null,Galle,Galle Divisional Secretariat,Galle,80.216995,6.028977
Boutique Hotels,MAALU MAALU RESORTS & SPA,"TOURISM ZONE, PASSIKUDAH.",40,Null,Batticaloa,Koralai Pattu Divisional Secretariat,Batticaloa,81.561268,7.92839
Boutique Hotels,THE WALAWWA,"MINUWANGODA ROAD,OPATHA,KOTUGODA.",17,Null,Gampaha,Minuwangoda Divisional Secretariat,Minuwangoda Pradeshiya Sabha,79.927908,7.131981
Boutique Hotels,BOULDER GARDEN,"KOSWATTA,KALAWANA.",10,Null,Ratnapura,Kalawana Divisional Secretariat,Ratnapura,80.385872,6.514558
Boutique Hotels,JIMS FARM VILLA,"AHELAPOLA, PELLEPOLA, MATALE",10,Null,Matale,Pallepola Divisional Secretariat,Ahelapola,80.619922,7.621357
Boutique Hotels,LANGDALE RESORT & SPA,"P.O BOX 01, NANUOYA, RADELLA,NUWARAELIYA",13,Null,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,Kotapola Pradeshiya Sabha,80.718066,6.929208
Boutique Hotels,THE FORT BAZAAR,"26, CHURCH STREET, GALLE FORT, GALLE",18,Null,Galle,Galle Divisional Secretariat,Galle,80.2154963,6.026844
Boutique Hotels,"WATER GARDEN,SIGIRIYA","KIBISSA, SIGIRIYA",30,Null,Matale,Dambulla Divisional Secretariat,Dambulla Pradeshiya Sabha,80.7441833,7.994399
Boutique Hotels,SOORIYA RESORT & SPA,"SOORIYA RESORT & SPA, REKAWA BEACH, TANGALLE",38,Null,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.8635393,6.048141
Boutique Hotels,WILD COAST TENTED LODGE,"PALATUPANA,YALA.",28,Null,Hambantota,Thissamaharama Divisional Secretariat,Thissamaharama,81.4064072,6.2607399
Boutique Hotels,THE HABITAT,"47/23,PARATHARAKAYA CIRCULATION ROAD, KOSGODA",28,Null,Galle,Balapitiya Divisional Secretariat,balapitiya,80.0258226,6.3405694
Boutique Villas,ROCK VILLA,"NEELISGEWATTA,ALAWATHUGODA,BENTOTA.",7,Null,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.9973733,6.41358
Boutique Villas,MIRAGE KINGS COTTAGE,"NO 111, HAVELOCK DRIVE, OFF UPPER LAKE ROAD,NUWARAELIYA.",11,Null,Nuwara Eliya,Nuwara Eliya,Nugegoda Divisional Secretariat,80.7723742,6.9641218
Boutique Villas,DUNKELD BUNGALOW,"DUNKEL BUNGALOW, DANKELD ESTATE, DICKOYA",5,Null,Nuwara Eliya,Ambalantota Pradeshiya Sabha,Ambalangoda Divisional Secretariat,80.572933,6.858082
Boutique Villas,SUMMERVILLE,"TEA TRAILS (PVT) LTD, SUMMERVILLE BUNGALOW, SUMMERVILLE, DICKOYA, HATTON.",5,Null,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Ambagamuwa Divisional Secretariat,80.580983,6.867271
Boutique Villas,MIRISSA HILLS,"HENWALA ROAD, HENWALA, MIRISSA",8,Null,Matara,Galle,Galle Divisional Secretariat,80.465105,5.963842
Boutique Villas,WILD GRASS NATURE RESORT,SIGIRIYA,5,Null,Matale,Matale,Matale Divisional Secretariat,80.724371,7.904267
Boutique Villas,NORWOOD BUNGALOW,"TEA TRAILS,NUWARA ELIYA.",5,Null,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.60413,6.834541
Boutique Villas,VILLA SAFFRON,"NO,776,GALLE ROAD,THIRANGAMA,HIKKADUWA",5,Null,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1137,6.12222
Boutique Villas,MOUNT HAVANA LUXURY BOUTIQUE VILLA,"P.O. BOX. 28, WATTAHENA, GAMPOLA.",5,Null,Kandy,Gampola,Udapalatha Divisional Secretariat,80.599521,7.144944
Boutique Villas,LAKE LODGE BOUTIQUE HOTEL,"16,DIVISION,WEWA ROAD,KANDALAMA,DAMBULLA",6,Null,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.690316,7.863126
Boutique Villas,MOUNT BATTEN BUNGALOW,"BOWALAWATTA,WAITRARAMA,ARANVA ROAD,KANDY",3,Null,Kandy,Kandy,Kandy Divisional Secretariat,80.619447,7.255123
Boutique Villas,ELLERTON HOTEL,"NAWA GURUKELLE, DOLUWA, GAMPOLA",5,Null,Kandy,Gampola,Gampola Divisional Secretariat,80.629261,7.187229
Boutique Villas,ROSYTH ESTATE HOUSE,"ROSYTH ESTATE,PUSSELLA,KEGALLE",7,Null,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.352821,7.276954
Boutique Villas,ERAELIYA VILLAS AND GARDENS,"NO : 299,WALLIWALA,KAPPARATOTA,WELIGAMA.",7,Null,Matara,Matara,Weligama Divisional Secretariat,80.413849,5.958113
Boutique Villas,WATERSIDE BENTOTA,"YATHRAMULLA,BENTOTA",6,Null,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.007114,6.430846
Boutique Villas,COCO BAY,"NO. 4/10, RUMASSALA, UNAWATUNA.",8,Null,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.243972,6.027435
Boutique Villas,REEF VILLA & SPA,"NO.78,SAMANTHARA RD, WADDUWA",7,Null,Kalutara,Kalutara Pradeshiya Sabha,Wadduwa,79.928253,6.658974
Boutique Villas,DVILLAS LUXURY,"193/1, GNANENDRA MAWATHA, NAWALA",6,Null,Colombo,Colombo,Colombo Divisional Secretariat,79.8872566,6.8864696
Boutique Villas,ERA BEACH HOTEL,"NO. 834, MATARA ROAD, THALPE",6,Null,Galle,Galle,Galle Divisional Secretariat,80.2727742,5.9984781
Boutique Villas,THE RIVER HOUSE,"NO.70, UTTAMAGHNA MAWATHA,WALAGEDERA, BALAPITIYA",5,Null,Galle,Galle,Galle Divisional Secretariat,80.043303,6.260578
Boutique Villas,KAHANDA KANDA,"AGULUGAHA, GALLE",6,Null,Galle,Galle,Galle Divisional Secretariat,80.345978,6.020899
Boutique Villas,APA VILLA,"78TH MILE POST, MATARA ROAD, THALPE",5,Null,Galle,Galle,Galle Divisional Secretariat,80.27272,6.04173
Boutique Villas,WARWICK GARDEN,"AMBEWELA DIVISION, WARWICK ESTATE, BORAGAS",5,Null,Nuwara Eliya,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,80.828226,6.897703
Boutique Villas,VILLA REPUBLIC GALLE,"607/10,COLOMBO ROAD,GINTOTA,GALLE.",8,Null,Galle,Galle,Galle Divisional Secretariat,80.179398,6.058846
Boutique Villas,COCOON RESORT AND VILLAS,"KAIKAWALA ROAD, INDURUWA",10,Null,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.012888,6.373562
Boutique Villas,C & I BEACH HOTEL,"57,IRANAWILA WATTA, IRANAWILA, CHILAW",11,Null,Puttalam,Chilaw Pradeshiya Sabha,Puttalam Divisional Secretariat,79.796028,7.506236
Boutique Villas,THE SUN HOUSE,"NO.18, UPPER DICKSON ROAD, GALLE",6,Null,Galle,Galle,Galle Divisional Secretariat,80.218948,6.038032
Boutique Villas,TIENTSIN BUNGALOW,"TIENTSIN BUNGALOW, TIENTSIN, BOGAWANTALAWA",6,Null,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Nuwara Eliya Divisional Secretariat,80.657846,6.81343
Boutique Villas,THE KANDY HOUSE,"AMUNUGAMA WALAWWA GUNNAPANA, KANDY",10,Null,Kandy,Kandy,Kundasale Divisional Secretariat,80.61396,7.282111
Boutique Villas,WHY HOUSE,"MIHIRIPENNA, TALPE, GALLE",8,Null,Galle,Galle,Galle Divisional Secretariat,80.266573,6.007401
Boutique Villas,CASTLEREAGH BUNGALOW,"CASTLEREAGH DIVISION, CEYLON TEA TRAILS, DICKOYA, HATTON",5,Null,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.572189,6.866252
Boutique Villas,TURTLE BAY,"GURUPOKUNA,KALAMETIYA, HUNGAMA",8,Null,Hambantota,Hambantota,Hambantota Divisional Secretariat,80.933843,6.076428
Boutique Villas,ARIKA VILLAS,"PUWAKATAWALA ROAD,40TH MILE POST,OFF MATALE ROAD,DAMBULLA.",9,Null,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.66269,7.792484
Boutique Villas,CLINGENDAEL,"VICTORIA GOLF & COUNTRY RESORT,P.O.BOX 7, KANDY.",5,Null,Kandy,Kandy,Medadumbara Divisional Secretariat,80.774172,7.267445
Boutique Villas,INDISCH,"NO.246,AHANGAMA KANDA,AHANGAMA.",5,Null,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.372564,5.967664
Boutique Villas,PARADISE ROAD THE VILLA BENTOTA,"138/18, GALLE ROAD,BENTOTA",8,Null,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.999713,6.411732
Bangalows,KIVGA HOLIDAY HOME,"4C/8 FIRST STAGE, MIHINDU MAWATHA, ANURADHAPURA",4,B,Anuradhapura,Anuradhapura,Anuradhapura East,80.416952,8.333752
Bangalows,VILLA SUNBIRD,"89B, WELLAMANKARAYA, OFF HUE FERNANDO MAWATHA, NAINAMADAMA",6,B,Puttalam,Polonnaruwa,Wennappuwa Divisional Secretariat,79.837662,7.306926
Bangalows,COMILLA BUNGALOW,"""COMILLA WATHE"" 76/5, INDURUGALLA, WATHURUGAMA",3,B,Gampaha,Gampaha,Dompe Divisional Secretariat,80.0942621,7.0566908
Bangalows,SACHAL MIR'S,"2-C, DUNGALPITIYA, THALAHENA, NEGAMBO",4,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.8311,7.152417
Bangalows,MISTY HILLS BOUTIQUE COTTAGE,"20/23,TOP PASS, KANDY ROAD, NUWARAELIYA.(VIA SANASA RESORT)",4,B,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.7458665,6.9906717
Bangalows,THE PIER,"NO 113/8B ,DUWAWATTA, ST PETER'S ROAD, KORALAWELLA. MORATUWA.",4,B,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.888801,6.773335
Bangalows,SADULA HOLIDAY RESORT,"PULLAYAR JUNCTION, MIHINTHALE ROAD, ANURADHAPURA.",5,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.4307097,8.3538076
Bangalows,ST.ANNE S LAGOON HOUSE,"SOTHTHUPITIYA WADIYA, KALPITIYA ROAD, PALAKKUDA.",6,B,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.759615,8.229533
Bangalows,FOREST PARADISE GUEST HOME,"PASSARA ROAD, ELLA.",5,A,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.05151,6.874164
Bangalows,THE RANMIN BUNGALOW,"NO.9, TUDUWA, DAMPE, PILIYANDALA.",3,A,Colombo,Colombo,Colombo Divisional Secretariat,79.918606,6.766099
Bangalows,CLOUDS,"64,LILY AVE, HAPUTALE.",5,B,Badulla,Haputale,Haputale Divisional Secretariat,80.94992,6.7647
Bangalows,CASA BLANCO,"395/95, HILL CREST GREEN ,BOWALAWATTE, UDA PERADENIYA, KANDY.",4,B,Kandy,Kandy,Kandy Divisional Secretariat,80.618416,7.254844
Bangalows,HORAKELLE ESTATE,"BLOCK NO 2, PALLIYAPITIYA, DUNAGAHA.",9,B,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.971366,7.251445
Bangalows,ANKINDA LUXURIOUS VILLA,"293/11M, SURAMYA PLACE, GORAKAPOLA, PANADURA",4,B,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.904943,6.740224
Bangalows,SILVER BEACH HOTEL,"66/12, ALLES GARDEN, UPPUVELI,TRINCOMALEE",5,C,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.218226,8.616767
Bangalows,SAMANPAYA HOLIDAY BUNGALOW,"HELAMUDUNA, BANDARAWELA.",4,B,Badulla,Bandarawela Pradeshiya Sabha,Haputale Divisional Secretariat,80.983702,6.842848
Bangalows,LE GRAND MEAULNES - FAMILY HOLIDAY BUNGALOW,"""GREEN PATH"", TRINCOMALEE RD,HABARANA.",3,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.760551,8.048284
Bangalows,ABERDEEN RANGE HOLIDAY HOME,"RANJIRAWA, GINIGATHHENA",3,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.465755,6.996841
Bangalows,CLUB LESPRI,"322,TRANQUILITY, GALAHA ROAD, NILLAMBA",6,B,Kandy,Kandy,Kandy Divisional Secretariat,80.639866,7.199854
Bangalows,BLUE LAGOON,"""BLUE LAGOON'WELLAWATTE,HIKKADUWA",3,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.101595,6.147039
Bangalows,SENANI COLONIAL HOLIDAY BUNGALOW,"NO.80,LADY MC CALUM DRIVE,HAWAELIYA,NUWARA ELIYA",4,B,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.776064,6.973548
Bangalows,RIVER SIDE INN FUJI,"81,CIRCULAR ROAD,OBADAWATTA,BENTOTA",4,B,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.007141,6.428151
Bangalows,KANDY HOUSE,"NO 95,UPUL MAWATHA, ,5TH LANE,PRIMROSE GARDEN,KANDY",2,B,Kandy,Kandy,Kandy Divisional Secretariat,80.613952,7.282027
Bangalows,LANDS END,"649/13,SK TOWN,MEDDAWATTA,MATARA",3,C,Matara,Matara,Matara Divisional Secretariat,80.570361,5.939156
Bangalows,SERENITY VILLA,"NO.14/2,AMARASENA MAWATHA,HIKKADUWA",3,C,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.101597,6.139843
Bangalows,SPRING ACRE,"NO.495 A-4, KANDY ROAD, TOPPASS,NUWARA ELIYA",4,B,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.748221,6.990897
Bangalows,TEA HILLS,"LYND HEAVEN , FRUIT HILL, HATTON",4,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.590915,6.896988
Bangalows,REEF EDGE RESORT,"NO 11C, BEACH ROAD , POLHENA ,MATARA",4,A,Matara,Matara,Matara Divisional Secretariat,80.528325,5.936969
Bangalows,THE OCEAN FRONT,"14, SELLAMUTTU AVENUE, COLOMBO 3",6,B,Colombo,Colombo,Colombo Divisional Secretariat,79.8491,6.908351
Bangalows,JASMINE HOMES,"27/1, GREENFIELD PARK, MADIWELA, KOTTE",3,B,Colombo,Colombo,Colombo Divisional Secretariat,79.92095,6.876324
Bangalows,CEILAO VILLAS COLOMBO,"47/1,JAWATTE ROAD, COLOMBO 5.",6,B,Colombo,Colombo,Colombo Divisional Secretariat,79.867188,6.897036
Bangalows,5TH LANE HOUSE,"51/1A, FIFTH LANE COLOMBO 3.",4,B,Colombo,Colombo,Colombo Divisional Secretariat,79.854306,6.904586
Bangalows,MUTTON BUTTON,"96/21/D, RAJAPIHILLA MAWATHA, KANDY",8,B,Kandy,Kandy,Kandy Divisional Secretariat,80.644256,7.284123
Bangalows,CEILAO VILLAS KIRINDA,"SUDUWELIPALASSA, KATTADIWEWA, KIRINDA.",2,B,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.33386,6.228375
Bangalows,CEILAO VILLAS KABALANA,"KABALANA, WELHENGODA, AHANGAMA.",4,B,Galle,Galle,Galle Divisional Secretariat,80.346907,5.978085
Bangalows,FOREST VILLA,"185B, RAJAPIHILLA MW, KANDY",5,A,Kandy,Kandy,Kandy Divisional Secretariat,80.643597,7.284137
Bangalows,VIHARAGALA ESTATE BUNGALOW,"BERAGALA KOSLANDA RD, NIKAPOTHA P.O. VIA HAPUTALE",5,B,Badulla,Haldummulla Pradeshiya Sabha,Haldummulla Divisional Secretariat,80.941688,6.760753
Bangalows,LA VILLA SANCTUARY,"1143/G/6, THE SANCTUARY, FOREST DRIVE, THALAWATHUGODA.",2,B,Colombo,Colombo,Colombo Divisional Secretariat,79.932122,6.879158
Bangalows,PARADISE KANDY,"195/7A,RICHMOND HILL ESTATE, HEERASSAGALA,KANDY",5,B,Kandy,Kandy,Kandy Divisional Secretariat,80.619126,7.276424
Bangalows,SUNROCK,"195/1A, HEERASSAGALA ROAD, KANDY.",5,B,Kandy,Kandy,Kandy Divisional Secretariat,80.622612,7.27082
Bangalows,THE BLISS,"18, WIJEYA ROAD, TUDELLA, JA ELA.",5,A,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,79.893517,7.066622
Bangalows,JUNGLE TIDE,"UDUWELA,HANTANE,KANDY",4,B,Kandy,Kandy,Kandy Divisional Secretariat,80.655947,7.233831
Bangalows,NATURES TREAT BUNGLOW,"494/4, 4TH LANE,RUWANPURA SOUTH, KALAPALALUWAWE ROAD, AGGONA JUNCTION",3,B,Colombo,Kaduwela Pradeshiya Sabha,Battaramulla,79.920741,6.914802
Bangalows,KANO LANKA CENTRE,"MAHATENNA ESTATE, ELKADUWA, MATALE.",10,C,Matale,Null,Ukuwela Divisional Secretariat,80.610315,7.409476
Bangalows,DINUDA RESORT,"PUDUKUDUERIPPU, SETHAWADI, KALPITIYA",4,C,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.736991,8.229038
Bangalows,LANDS END BUNGALOW,"YADDEHIMULLA ROAD, UNAWATUNA",7,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.240342,6.008725
Bangalows,GREGORY'S BUNGALOW,"109, UPPER LAKE ROAD, NUWARA ELIYA",6,B,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.784538,6.956362
Bangalows,KAHAMBE ESTATE VILLA,"73/1, KAHAMBE ESTATE, KAHAMBE, PILIMATHALAWA",4,C,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.550455,7.255776
Bangalows,TEARAMB HOLIDAY BUNGALOW,"38, KARAGASTHALAWA, KATUKITHULA",4,A,Nuwara Eliya,Wellawaya,Kothmale Divisional Secretariat,80.676164,7.074153
Bangalows,AIRPORT VILLA,"LIVER BROTHER ROAD, LIYANAGEMULLA ROAD, SEEDUWA",5,B,Gampaha,Seeduwa,Katana Divisional Secretariat,79.872697,7.142227
Bangalows,SATORI VILLA,"KORATUWA GEDARA, MATARAMBA ROAD, UNAWATUNA, GALLE.",4,B,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.271419,6.021524
Bangalows,GALKANDA WALAUWE,"27, WALALA, MENIKHINNA",3,A,Kandy,Kundasle,Kundasale Divisional Secretariat,80.687187,7.319149
Bangalows,HILL WAY TOUR INN,"102 1/1, RAJAPIHILLAWA MAWATHA, KANDY",5,C,Kandy,Kandy,Kandy Divisional Secretariat,80.649055,7.283988
Bangalows,DEERPOINT BUNGALOW,"18/7A,SISIL SEWANA, SIRIMALWATTA, KANDY",6,A,Kandy,Kundasle,Kandy Divisional Secretariat,80.650061,7.300052
Bangalows,SERENITY LAKE FRONT VILLA,"90/15(90/13A), BILYMORIA MAWATHA, IHALA INDEBEDDA, MORATUWA",4,B,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.900295,6.77621
Bangalows,GALKADAWALA FOREST LODGE,"GALKADAWALA, PALUGASWEWA, HABARANA",4,B,Polonnaruwa,Palugaswewa,Palugaswewa,80.69252,8.031355
Bangalows,ABEYS VILLA,"140, GALLE ROAD,PINWATTE,PANADURA",5,B,Kalutara,Panadura Pradeshiya Sabha,Kalutara Divisional Secretariat,79.918264,6.686462
Bangalows,KOTHMALE HOLIDAY BUNGALOW,"126, NAWA NUGAWELA, GAMPOLA",3,A,Nuwara Eliya,Nuwara Eliya,Kothmale Divisional Secretariat,80.592182,7.063135
Bangalows,PEACOCK RESIDENCE,"NIDANGALA WATTE, MALIGATENNA, 5 ELA, SHRAWASTIPURA",5,C,Anuradhapura,Anuradhapura,Anuradhapura East,80.38993,8.308446
Bangalows,PLANTATION VILLA,"PLANTATION VILLA, WATTALAYA WATTE, NEHINNA, DODANGODA",8,B,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,80.062346,6.548825
Bangalows,VILLA MAYURANA,"PELASSA ROAD, SANTHOSAGAMA 80650, AHANGAMA",4,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.341569,6.007656
Bangalows,ROYAL COCOON,"2, WEDDERBURN ROAD, NUWARA ELIYA",7,B,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.770444,6.968445
Bangalows,APSARA,"332, WELIPENNA ROAD, ALUTHGAMA",3,B,Kalutara,Aluthgama,Aluthgama,80.003386,6.433525
Bangalows,PASMEEGODA ESTATE BUNGALOW,"PASMEEGODA ESTATE, KOHOLANA, KALUTARA",4,C,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.966016,6.588994
Bangalows,HILL CREST VILLA,"3, HILL CREST VILLA GREEN, UDA PERADENIYA, KANDY",5,A,Kandy,Kandy,Gagawata,80.61694,7.257661
Bangalows,MANGO HOUSE,"3, LEYN BAAN CROSS STREET, GALLE FORT, GALLE",7,B,Galle,Galle,Galle Divisional Secretariat,80.218427,6.026796
Bangalows,THE KANDYAN VILLA,"532/30, HEERASSAGALA ROAD, HEERASSAGALA, KANDY",3,B,Kandy,Gagawata Koralya,Gagawata,80.622027,7.266516
Bangalows,FORT BLISS,"84, LIGHT HOUSE STREET, FORT, GALLE",4,B,Galle,Galle,Galle Divisional Secretariat,80.217201,6.024691
Bangalows,1ST CHOICE,"9/1, FIRST LANE, RATMALANA, MOUNT LAVINIA",5,C,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,79.875503,6.819636
Bangalows,VILLA BAYWATCH,"PEELA ROAD, BUONAVISTA, RUMASSALA, GALLE",6,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.23837,6.016349
Bangalows,VILLA ROSA,"71/20, DODANWELA PASSAGE, ASGIRIYA, KANDY",5,B,Kandy,Kandy,Gagawata,80.623796,7.299604
Bangalows,MODERN CITY INN,"426, MAIN STREET, NEGAMBO",8,A,Gampaha,Gampaha,Negombo Divisional Secretariat,79.844831,7.212444
Bangalows,MAX WADIYA,"147,GALLE ROAD, (PARROT JUNCTION), URAWATTE, AMBALANGODA",3,B,Galle,Galle,Galle Divisional Secretariat,80.057195,6.220452
Bangalows,TAMARIND,"1/104, RAHULA MAWATHA, DIGANA",3,A,Kandy,Kundasle,Kundasale Divisional Secretariat,80.749437,7.265486
Bangalows,HILL SAFARI,"LOWER BRAY ESTATE, OHIYA",5,C,Badulla,Welimada Pradeshiya Sabha,Haldummulla Divisional Secretariat,80.8563,6.797426
Bangalows,OAK RESIDENCIES,"NO. 83/2/1 & 83/2/2, SARATHCHANDRA DIAS MAWATHA, PAMUNUVILA, KIRIBATHGODA",4,B,Gampaha,Gampaha,Biyagama Divisional Secretariat,79.932283,6.970955
Bangalows,LANKA STAR BUNGALOW,"66/6, RATHNAYKE MAWATHA, PELAWATTE, BATTARAMULLA",4,B,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,79.926141,6.886401
Bangalows,WADDUWA BEACH VILLA,"36/17, SANATH PERERA MAWATHA, SOUTH THALPITIYA, WADDUWA",6,B,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.922982,6.670927
Bangalows,LOTUS CHALETS ECO HOTEL-UDAWALAWA,"PAHALA KUMBUKEWEWA, CANAL ROAD, MIGAHAJANDURA, SOORIYAWEWA",3,A,Hambantota,Hambantota,Sooriyawewa Divisional Secretariat,81.02264,6.365119
Bangalows,VILLA DE ROSHE,"60 6C, UNIQUE VIEW ROAD, NUWARA ELIYA",3,B,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.762589,6.963889
Bangalows,THE SHADY NOOK - DIGANA,"1/149, VICTORIA RANGE, KENGALLA",4,A,Kandy,Kundasle,Kundasale Divisional Secretariat,80.737145,7.288235
Bangalows,HATALE BUNGALOW,"392, MAIN STREET, MATALE",5,B,Kandy,Kandy,Kandy Divisional Secretariat,80.727487,7.374981
Bangalows,COCO VILLE,"WATERVILLE ESTATE, KUMBURUMULA ROAD, KALKUDA",3,B,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.565127,7.910318
Bangalows,ESCONDITE,"17/2, SUDHARMAN MAWATHA, RAJAMAHA VIHARA ROAD, PITA-KOTTE",5,B,Colombo,Colombo,Battaramulla,79.913016,6.881239
